respID,stateChar,stateNum,whereLive,religion,religionOther,raceAfricanAmOrBlack,raceAsian,raceWhite,raceIndian,raceMiddleEast,raceLatino,raceNativeAm,racePacificIsl,raceOther
R_4Z4otFdkx8LXS8N,NY,37,City,Spiritual practice not associated with a specific religion,,African American or Black,,,,,,,,
R_vUD9W3z8qXv9QUF,NC,38,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,European/Causasian,,,,,,
R_3NWhOjJ4LBFkINB,KY,20,Rural area,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_3JI2Jcp8t8hO1Xg,WA,56,City,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_DJ27axQ1v8NTar7,OH,41,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3lSLNY86ErnNE5P,TX,51,Suburb,Muslim,,,,,Indian,,,,,
R_1pXXMFUaZk2GWeo,CA,6,Suburb,Do not actively practice a particular religion,,,Asian,,,,,,,
R_1GvnnITP6nW0dzY,FL,11,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3lYtdgAsxzMAjxI,,,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_33l4BaDFyk6ckeY,NH,34,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1LUNJugAUmv5hyi,FL,11,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2D1YBpbGDaYuOAA,IN,17,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_57RYwCXlBXsHkdj,NJ,35,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_1NChVeO8RUj6PkW,UT,52,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2Bal5UVUS2NUoKi,NY,37,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_0ffGhHlHxlpdYtj,MI,26,Suburb,Do not actively practice a particular religion,,African American or Black,,,,,,,,
R_3pinbYjyUUZptAj,NY,37,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_5bXi4EnVufZUuaZ,IL,16,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3Rt4Yk2hYQ9gnIH,OH,41,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_daIWhMxJXWmsiat,TX,51,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1Q47VReWTzqxT3R,NV,33,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2amGdi68KWu1QF6,MI,26,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3I6ORIAeJvDzrjl,WA,56,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1I4WKUCVneoy71L,MA,25,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3oC0Rl60lSN0tPY,MD,23,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3e93yg9YEBSyCtP,GA,12,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_djtfSPFMHVIVWV3,MS,29,Rural area,Do not actively practice a particular religion,,African American or Black,,,,,,,,
R_2Ck7ONLroeIPgda,WA,56,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3Mfys60iBPgc1A3,CA,6,Suburb,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_3Q0gJSnOcWr0MXE,IN,17,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_1ez84yzh7d4UgLO,MA,25,City,Jewish,,,,European/Causasian,,,,,,
R_2DLFzrVziHPJyhw,NY,37,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2pQzRghwGEw4jSA,IL,16,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_SWa2J5tFxD2lnDH,SC,48,Rural area,Do not actively practice a particular religion,,African American or Black,,,,,,,,
R_1eEFzh8Z2uUKIAA,IA,18,Rural area,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_6ol75DV6svc7oP3,MO,30,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2uNJ7ORNKvymcZZ,MO,30,City,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_2TSKbslC3aWtT8y,NV,33,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2ckNHnBM5eyhDH8,WV,57,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_12DsTxVo2AccWhY,CA,6,City,Jewish,,,,European/Causasian,,,,,,
R_1BXyTWD20fj2MOi,LA,21,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1mqjEHupZKuJJG8,PA,45,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_eKWY40VA72ffVmx,NC,38,City,Do not actively practice a particular religion,,African American or Black,,,,,,,,
R_27rRlYQ5KpWxfdi,IN,17,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_81Rw0KTdf356WXv,PA,45,Rural area,"Christian (Catholic, Protestant, etc.)",,,,,,,,,,mixed
R_12to4zZOtUBeOqj,NJ,35,City,"Christian (Catholic, Protestant, etc.)",,,Asian,,,,,,,
R_31trnV1b3tgr7cw,FL,11,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_12xS5JqbKlDSCG0,KY,20,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2Xgvj0jGbQwJV7r,UT,52,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1ifGqPX0MilXmnB,MD,23,City,Spiritual practice not associated with a specific religion,,,,,,,,,,mixed
R_21unT3hEcnmD3N4,TN,50,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3EaPdT8eCycpWa5,OH,41,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_9FQHAJpa1zeFRct,GA,12,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_12bZr01k1oAbULv,NJ,35,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1jVrCC2J3YY7QBV,SC,48,City,Other,Baptist,,,European/Causasian,,,,,,
R_3h5U77YvidDK4Ha,MO,30,Suburb,Muslim,,,,,,Middle Eastern,,,,
R_3n9tdQx2SUOHyAG,PA,45,Suburb,Do not actively practice a particular religion,,,,,,,"Latino, Hispanic, or Spanish",,,
R_2t07EGPmVcpYFgp,OK,42,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1QL6ISu7pfLwTcD,OR,43,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1QEEHitpCiJXkR6,FL,11,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_PzhsRECUqQyl2s9,CA,6,City,Spiritual practice not associated with a specific religion,,,Asian,,,,,,,
R_SAzbk5OXJgtMy2Z,LA,21,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3GDs3VGk471waWS,IN,17,Rural area,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_2OMDJO4c80PIGj3,OH,41,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2AYaDvYgqdQmEqB,PA,45,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_22PQpv9beHt7FTp,CA,6,Rural area,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_2zUzcb9gUGvrRwK,KY,20,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_25QjiRlaxxY1BhE,IN,17,Suburb,Other,Thelema,,,European/Causasian,,,,,,
R_V3VDG8gwFaLDWQp,OK,42,Suburb,Muslim,,,Asian,,,,,,,
R_cOzknu42zkB647L,SC,48,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2Y9b6qhkTLnJ81X,OH,41,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2qeHUQFeniTNJkO,IL,16,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1N8ltcA9o45v3aA,CA,6,Suburb,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_UQlseIuglcXSUjn,NJ,35,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1Eg3n8dSWNX7aoR,CA,6,City,"Christian (Catholic, Protestant, etc.)",,,Asian,,,,,,,
R_1pQYM4QTD3MgSvG,CA,6,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,European/Causasian,,,,,,
R_cArUUSOBC5gJq05,TX,51,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,"Latino, Hispanic, or Spanish",,,
R_5iIb3uInyIqVkIl,AL,1,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3Mo3amAURC3LUsJ,NE,32,City,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_vGklC1DcxXOOliN,FL,11,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3MsaprURkz23Ob8,NY,37,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_9QTlVO57lnc9Fyp,UT,52,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_cUPJOE3cJ7okaRj,TX,51,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3e7UyxYp7ZNjjij,OH,41,Suburb,Other,Abraham Hicks,,,European/Causasian,,,,,,
R_1kM71feAoGM870D,UT,52,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3scDD2Ut3s09ej5,NM,36,Rural area,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_1MNl7tosVZ0LMnn,FL,11,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2SBsEDU8yjN9CBA,CA,6,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1eCNKFHos8pD1sr,CA,6,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_32RZJNOxvLojyDC,NY,37,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2xKQveRf0BOlEQq,IL,16,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_6tJ7KZZ5lH8iTtv,MN,28,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_22WjEwsP4ctaPJK,WA,56,Rural area,Do not actively practice a particular religion,,,Asian,,,,,,,
R_9YN6fDLReb95hND,NC,38,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_bqlNxW3W4bK9cwF,CA,6,Suburb,Do not actively practice a particular religion,,,Asian,,,,,,,
R_308D4btfO81tSMH,MI,26,Rural area,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_21zFWy7A89L4cmb,NC,38,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2WMUYZSZ8eqerkQ,FL,11,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,European/Causasian,,,,,,
R_2fkEcqNht3NOiu4,PA,45,Rural area,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_3Myx0AotSTe5XSJ,CA,6,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_12SdOvwEB1q8K6D,CA,6,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3fwqG37uadHT6gk,PA,45,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3ikDtLUGTvefIX5,SC,48,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1OC6RV9p3gjCWI3,PA,45,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1i2tR2RjgUWp10t,CA,6,Suburb,Do not actively practice a particular religion,,,Asian,,,,,,,
R_1XMtucMMU6Mcscp,PA,45,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_tMy0BTFOzqD1rRD,IL,16,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3HXNbMKbqzR1GIE,WI,58,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3s0Kcz6opkTeqZM,NE,32,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_5dK6sH2hUS7llXH,FL,11,Suburb,Do not actively practice a particular religion,,,,,,,"Latino, Hispanic, or Spanish",,,
R_vU1i7HuZRJxbtgB,KY,20,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3CCzvCVszGuYI6L,WA,56,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3F2JYWPMtlzQrnp,,,Suburb,Other,,,Asian,,,,,,,
R_1rv40NbwfvVFqRj,FL,11,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_1IucTzoj5YQXNRT,MO,30,Rural area,Do not actively practice a particular religion,,,,,,,,,,white
R_3PsJGJPvTg8lkJq,RI,47,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2s4oQtFHXmGFria,CA,6,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2B9cd6aK0G6FmC4,TX,51,City,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_2Pvd9knoP4rr6ee,WA,56,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1gtqG8GZcKEwfkZ,CT,8,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_3fdWshOMAfDQ7qN,MN,28,City,Do not actively practice a particular religion,,,,,,,,,,White
R_3iW3A8n74KZDOKb,WA,56,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_A6uEAQRhnZtyNWx,GA,12,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1jTACKr91rbpiQM,OR,43,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1n9EU5ZwZ68FpBs,IN,17,Suburb,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_3iRazWmfBCN6fMU,VA,54,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_z2SFTaODOEFwe6l,TN,50,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2dz0G0qrrXEQUVY,NJ,35,Suburb,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_3e1U9D4Nu5cBy5K,TX,51,Suburb,Other,Mormon,African American or Black,,,,,,,,
R_3p9frfFoTzRclcL,GA,12,City,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_3hnZFfOXJ39EAeL,VA,54,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2dELKfLdJqyFY0w,NY,37,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_10CrEg3AQ91ztyG,WA,56,Rural area,Buddhist,,,,European/Causasian,,,,,,
R_217IAIy1cTQOjut,NY,37,City,Jewish,,,,European/Causasian,,,,,,
R_AL1KTRDKlUDqVeF,NC,38,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_QcT7TFcgCwoirLj,CO,7,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_28TdPnx0EZpavjK,TX,51,City,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_2TXEhm3fD0eClq1,AL,1,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3DV9jpXPfQ4mSpr,NC,38,Rural area,Do not actively practice a particular religion,,,,,,,,,,White
R_eh8sWIeoBfk1wC5,NC,38,Rural area,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_vIjsCgyZKfAJ757,NY,37,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_22ym583JheBJQfe,TX,51,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_1CkLAyQzGQClYiK,CA,6,City,Hindu,,,Asian,,,,,,,
R_9A0UpMvAtg0kf1T,OH,41,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2319bO1DlIGOMhG,WV,57,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_AMLE8TquOrXZbKp,OR,43,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2DOXotcXlihsdcg,FL,11,Suburb,Do not actively practice a particular religion,,,,,,,"Latino, Hispanic, or Spanish",,,
R_2wbk8RAjfxtdWVq,IA,18,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_33kYEDb4QmaOUDg,NJ,35,City,"Christian (Catholic, Protestant, etc.)",,,Asian,,,,,,,
R_2qlQDSLUZy1uVTq,TX,51,Rural area,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_308zBmflxG0o9jA,TX,51,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_86cU4LnX2gS3bwt,CO,7,City,Buddhist,,,,European/Causasian,,,,,,
R_uxFyK4aFWfbg1VL,OR,43,Rural area,Do not actively practice a particular religion,,African American or Black,,,,,,,,
R_2aDnZh7xbQ0IDX1,KS,19,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_12beih4eAHCXH6w,PA,45,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_b9l1PG3bZCcb6wh,CT,8,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1IsLzpS6KqOWn0h,MS,29,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_23UYaOoy5QA0yFr,OH,41,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_0lbq5xyR29NV2h3,GA,12,Suburb,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_1IGcrP6KrUmh1hO,CA,6,Suburb,Spiritual practice not associated with a specific religion,,African American or Black,,,,,,,,
R_1JQI10GCmcRTcQx,TN,50,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3lPlhN5BED1BMvy,TX,51,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1jD0hzdiO8G06D0,NY,37,City,Do not actively practice a particular religion,,,,,,,"Latino, Hispanic, or Spanish",,,
R_1mFzfiNkIit1XEa,TX,51,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3Gs2QIPXpi2OH8f,SD,49,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_UGs8fw29UEE0sEN,TN,50,Rural area,Other,atheist,,,European/Causasian,,,,,,
R_9GHNkVkyDG1EBe9,IL,16,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3Oe5rXdIfA9ONAw,MN,28,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2AHEka2OQQJDTBa,CA,6,City,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_3LXrQnKf8jQB6IC,OK,42,Suburb,"Christian (Catholic, Protestant, etc.)",,,,,,,,,,White/Caucasian
R_1DGeV47pFHejOs7,TX,51,City,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_1oqaYqGTCIhSNU2,MI,26,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1Hq1SqZ7hm8lRjX,WI,58,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3JqJzsh4DDj5Qei,AZ,4,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1GqfsD0toEDpS5L,CA,6,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_264MwKhwTX2HhBD,MN,28,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1GOLWq62ca2HVqr,PA,45,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3lxA25C01NY21aV,NC,38,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_bD8YS1I8qNvyw6t,IL,16,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_yC4hiXPcfnnt9Ad,IL,16,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2D7exJ9vxc3naPu,CA,6,Rural area,Do not actively practice a particular religion,,,Asian,,,,,,,
R_1opCdUIm76fBS8a,IN,17,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,"Latino, Hispanic, or Spanish",,,
R_aWYUjCuc4IHhpKx,AZ,4,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_BJUVgVGNdt8KpvX,CO,7,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2ruoTmRvdPEzYUw,VA,54,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_pfLDL2onaTzufId,CA,6,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3dKRkUgGJB6qb58,MO,30,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3subla4cg71B8Rf,PA,45,City,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_2WGMv63R8sSLp9f,PA,45,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3kCjFa3jaSBV59R,WA,56,Rural area,Other,atheist,,,European/Causasian,,,,,,
R_2DUqC9Mvh3O4jpp,VA,54,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2zjbd3xCjg34ocD,CT,8,Suburb,"Christian (Catholic, Protestant, etc.)",,,,,,,"Latino, Hispanic, or Spanish",,,
R_3JknqlFACSFiqUQ,WV,57,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_vkIzWHWg6n7LOF3,,,,,,,,,,,,,,
R_1rksEmUfB90RSnv,TX,51,Rural area,Other,Shinto,,,European/Causasian,,,,,,White
R_ODT6AoHQSA46LmN,OK,42,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3oLcfQKp6LpX8tU,MD,23,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_20SxYhcAwcGwWII,GA,12,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3F2lmyh309WX0gK,LA,21,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_24HQ2nckkQGgWo0,UT,52,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3R9ycwIn20DlkSB,NC,38,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2co53kUglFAc34G,CA,6,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3im3GGqp5i23msY,MI,26,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_22YBcoOo93s0icR,MO,30,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_2rxGJh0JqSWmvfn,NY,37,City,"Christian (Catholic, Protestant, etc.)",,African American or Black,,,,,,,,
R_DwV2CKxKHlcJC13,FL,11,Suburb,Jewish,,,,European/Causasian,,,,,,
R_3HAZI9Xz9IBhWyz,FL,11,Suburb,Do not actively practice a particular religion,,,,,,,"Latino, Hispanic, or Spanish",,,
R_pAuwBRgeMlGc0Qp,NC,38,Suburb,Other,Unity,,,European/Causasian,,,,,,
