respID,raceAfricanAmOrBlack,raceAsian,raceWhite,raceIndian,raceMiddleEast,raceLatino,raceNativeAm,racePacificIsl,raceOther,whereLive,religion,religionOther
R_1eqo23i6dzMNjxk,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_1erhKiCuZNrJyoE,,Asian,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_1eS536IT2M4sz8t,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1f16EikhYVR88bp,,,,,,,Native American,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1FevV0SCMoFhReI,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1gBdXmIhB88GSUZ,,,,,,"Latino, Hispanic, or Spanish",,,,City,Spiritual practice not associated with a specific religion,
R_1gMWTC1tYguIWk7,,,,,,,,,,,,
R_1GNeSVHon7uUANf,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1gngUnMxDQ35VWw,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1GvNo6YmfI9mqH7,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_1GVqMmj4fLpe9rp,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_1HbkD3RzoLrPbx6,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1HjWAdR5u0BbL22,African American or Black,,,,,,,,,City,Do not actively practice a particular religion,
R_1HjWcz31dz6vBpa,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1HkRAZTGeZYyxvN,,,,,,,,,,,,
R_1I5XgF3HTkNvDZ1,,,,,,,,,,,,
R_1IHi9HksrEAaHv2,,,,,,,,,,,,
R_1irOJGAZbbRYomT,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1ITavoRKdDQ9PLw,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_1Iud3Hgif0eu3Nc,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1jcsulvYA4HvBHS,,,,,,,,,,,,
R_1JFIW0C8HX8XiUg,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_1jldNS3DG4EZCpq,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_1JPF2tLQsMoonJf,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_1jQlo8kjiLEOebv,,,,,,,,,,,,
R_1jrCdQAUTRid0Wc,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1JRRm3yG2ARQ6fj,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_1jVTlCYKBX91Ywa,,,,,,,,,,,,
R_1JWM1f9x3NGXwiA,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_1kM3UKrs2x9wzYK,,Asian,,,,,,,,City,Spiritual practice not associated with a specific religion,
R_1kOhkrIBKvnkEuk,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1KoSZG3I6U1JWCM,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1Kwru4DBF5ekFsA,,,European/Causasian,,,,,,,City,Buddhist,
R_1lhFEwXonKtX6YT,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_1lixvX0R9en56a3,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1LjIdOq3f9oOPIO,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1LMgbLnTERz6odD,,,,,,,,,,,,
R_1LpxK4FBJ2WGRGV,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1LtHwwfnFBvE924,,,,,,,,,,,,
R_1M3rJiOZTLooJ9V,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1mlq2eD1qHKkNXY,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1mUlkUDCn8DGuib,,,,,,,,,,,,
R_1mXjKzGI4suPnNo,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1MXucxUM4RSO036,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_1mzmURJywcUVNGr,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1N22CKpdZb0vZFi,,,European/Causasian,,,,,,,Suburb,Other,Jehovah's Witness
R_1NgNoIQgOwI6e3E,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1o1lDmVJWizDBmm,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_1o6xD5Yz9mkuyRG,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1oBaqkjLeg9RwcJ,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_1OBvkEApwBniofm,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1OC5izDPQWUA68v,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_1OH9bjbtO0CvEfK,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_1OIHrdBktMxP0v9,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1OjmPkXYuPss1vf,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1OlWidWTatg3uOJ,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_1oySgM5oOFlPWdt,African American or Black,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1pxmxu8uYVQIfn7,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1Q4LRkeTUvWr7jt,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_1q9YF4cjrcfdKj4,,,European/Causasian,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_1QhJ4vhrc4mbvch,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_1QLpKAqegYHH3cc,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_1QMDl78ziYdDBZr,,,,,,,,,Mixed Race (White & Black),Suburb,Do not actively practice a particular religion,
R_1qTXQVBCZD5OPur,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1r2DJ4lJD3oBbqM,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_20UqGp53MM5amao,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_214HfRAtDFZvlOt,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_21mnyBod7N25viW,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_21vuXk2o4rYekar,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_22DgjKcwTicuCP9,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_22RiP78vdULwqYU,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_22W7nnVUfQFvmJk,,,,,,,,,,,,
R_22zBsbS4GTguYBw,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_23uYFIiDqOp2zap,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_23VtM8Ns1dww0yB,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_23WgcmVSjMlFyTB,,,,,,,,,,,,
R_24GkmpZj6X5RgfF,,,,,,,,,,,,
R_24qPqPIMeSllm53,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_24vEpgGkj9bm1e1,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_25F6TBqg4FmCrPP,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_25ROd6eRpEvik90,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_25TjY4LA2jpxFoL,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_25zlQKzXP4j5UJ7,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_26bCbmhM4XWRRfR,,,,,,,,,,,,
R_26fp21JkrpqyhYS,,,,,,,,,,,,
R_26nWfHpB3mxygyu,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2735JGH0h6v5Vfi,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_2786AGRQSA3GFPP,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_279UQRzYIMeY17O,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_27C3prntAIiVsaM,,,European/Causasian,,,,,,,Suburb,Other,Pagan
R_27H9R40MZ39IHDB,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_27HlK0BeajEL7wd,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_27kBYVd2z3LrpfM,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_27OJX4VIiZmRabr,African American or Black,,,,,,,,,City,Buddhist,
R_27wd7g0MXRHvv6g,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_27WOzACaHjGbUgJ,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_28N9NCAzEz6NlXN,,,European/Causasian,,,,,,,City,Jewish,
R_29nNmxZ2CtVBbZp,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_29sqeYhxYnxm4Bb,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2aERmqRkd3dX21c,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2aQ2UFl8twXdEZY,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2aqmEKulJ6acR8C,,,,,,,,,,,,
R_2aUBiCVZQq6bqKc,,,,,,,,,,,,
R_2axlpmE1q4o6GrV,,,,,,,,,,,,
R_2AXP8wfp5WkVlu5,African American or Black,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2bNqB69Pi5ytPEL,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2Br1p3a0DRSqXwo,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2BtSTHelb5q78wh,,,European/Causasian,,,,,,,Suburb,Muslim,
R_2c7N4SYWYNqB0Hm,African American or Black,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2cdOoH1zOobxUpo,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2CEtD2pnH2etbTv,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2CgqmTI67BGXtQ5,,,European/Causasian,,,,,,,Suburb,Jewish,
R_2dG7I2SZ9RNOdre,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_2dtKbegjC20f4Xt,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2dydgz2Pznw7e6J,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2e5q4H982i6DPHW,,,,,,,,,,,,
R_2e8NEYWxlL55MGd,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2EAfumWAZ6HlZzj,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2EggwiksbNRLYDL,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2EixN7aZLysLZ5Q,,,European/Causasian,,,,Native American,,,City,"Christian (Catholic, Protestant, etc.)",
R_2eW04MVWO8bFDG6,,,,,,,,,,,,
R_2fg7gPJyG2vHb9x,,,,Indian,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2fwhxqBNGDZ99q2,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2hHnBnQEf4ZhXR7,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_2ixh0DLQ90kQKbf,,,,,,,,,,,,
R_2mGjG8pRwLpf12p,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2ONGMibBcpqIDx1,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2OUsjpKzx1mrFZc,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2ozvoZ5dHY90nA1,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2P5spI4iJuVplBZ,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2PApqHYOhW75UPZ,,Asian,,,,,,,,City,Muslim,
R_2PjW2CSDfulMFaJ,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2pMoBvj4TBWaz5W,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,Do not actively practice a particular religion,
R_2Ppyvb61ubQPplK,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2pYr66ZOLS7C9L9,African American or Black,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2q8HzTB5HnwhNYv,,,,,,,,,,,,
R_2QE7m51ulD6SH5U,,,,,,,,,,,,
R_2QFFoN3TSq6KBwC,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2QhtQC5OAWbzJKz,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2QtZecLGAzQkmXU,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,Do not actively practice a particular religion,
R_2qvH9ZnIZ8sCiUv,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2qwMKsrA25R0csY,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2qwSXE70A6jdGE4,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2QxEcQIkZayyUQC,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2QYXg4aijitefPU,,Asian,,,,,,,,Suburb,Do not actively practice a particular religion,
R_2RaCxXoDk4D6st9,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2rAfFupcwi4okkJ,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2rD8vqwkE6oqwBv,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2ri4iKyqcCMvds7,,,,,,,,,,,,
R_2rPCge4XNDToGYV,,,,,,,Native American,,,Suburb,Other,Spiritual
R_2RX2rMXPexJLMAv,,,,,,,,,Black American,City,Other,Non-Denominational
R_2SGnfEwgasVsXbm,,,,,,,,,,,,
R_2SqqZAWTDYdHfCv,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2SxECEEjn1aG66l,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2tEHHXgsS8J3ko4,,,European/Causasian,,,,,,,City,Buddhist,
R_2tG3ynEHwJzm5G6,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2THjKZ7wvhQrecr,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2TMBfQdDYApWtem,,,European/Causasian,,,,,,,City,Jewish,
R_2tmJApDbwcdF251,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2TSic87kRf4PN3E,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2txbdHbcwca4wfL,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2ty6ngYsDyi0D2E,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2Ubl7sF3PdOmSiV,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2uBW9WUJINuO9k2,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_2uJvUYBePpNu9nU,,,,,,,,,,,,
R_2uQW54fVnNfrRtF,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2usn688vGI77td1,,,,,,"Latino, Hispanic, or Spanish",,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2uvxvdXjKgfgeba,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2uwCVIOYn3ipoa1,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2uyOW8lkOHeQ9tZ,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2V1KwRi1cwUbu8P,,,,,,,Native American,,,City,"Christian (Catholic, Protestant, etc.)",
R_2VEk54DRQGDqeqF,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2Vfh8AlEnjWYDrT,,,,,,,,,,,,
R_2VIT6zibzPEgawE,,,,,,"Latino, Hispanic, or Spanish",,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2VJ97OGmKTPGqqU,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2VstQ89WolyCwcw,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2VxpmPIqrmnwE1L,,,,,,,,,,,,
R_2w0FT8Iw4dfUJni,,,,,,,,,,,,
R_2w63O0NVeRjHop8,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2wcxd3voXAte4Fg,,,,,,,,,Caucasian,City,Do not actively practice a particular religion,
R_2WD4MPiiXIIkchO,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2wgJwxFA5gzSRBs,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2wphCUFtYaS3oL1,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2WSbt8Xb7r8bUjs,,,,,,,,,,,,
R_2WSZCE86XLGnuYg,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2WYndHbJIfdscN8,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2xPinOL8OH3Nq9L,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2xSpxjGZEhrCK6u,,,,,,,,,,,,
R_2xxEKd2nTd75voM,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2Y4IHWU8R14YHWI,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2Y9W02XysR8OELi,,,,,,,,,,,,
R_2YaHYzxrn7Q11pK,,,,,,,,,,,,
R_2Yfb5fa5Uh3XBHG,,,,,,,Native American,,,Suburb,Other,catholic
R_2ykYckz6AW9bCGb,,,,,,"Latino, Hispanic, or Spanish",,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2zbDJR9ZaQju8rH,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2zhFtbnL87T1JuG,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2zIT2adrNiceR5m,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2zSWMrV3gile5BO,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2ZWdetaTarhL9JX,African American or Black,,,,,,,,,City,Muslim,
R_30pD7StI50nscSD,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_30rejh0DQdVwRE5,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_31jtQUdPR1eWV5m,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_31sgomhwBxnZOUh,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_31t1tCaYxfLZsDy,African American or Black,,European/Causasian,,,,Native American,,,Suburb,Do not actively practice a particular religion,
R_31tQmDOPSQwxOVc,,,European/Causasian,,,,,,,Rural area,Other,believer in Jesus
R_322zESLf0BEjt0n,African American or Black,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_32RgyusRYQ32OEm,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_32RyVVYphEGNLkW,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_32Y1bDNfgzdWu1a,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_330WAJkxXUAQkON,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_33a8Ub52jZT1rrn,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_33peFPE71BHKINb,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,Do not actively practice a particular religion,
R_3aZpXm6NeCgaBMJ,,,,,,,,Pacific Islander,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3COCbzpjZJrXn93,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3CVGXlYfXWmcwF6,,,,,,,,,,,,
R_3CZbJj2b0txTUFs,,,,,,,,,,,,
R_3D0HxtQqnhvZtSr,,,,,,,,,,,,
R_3dGKQPvTPbJSXu2,,,European/Causasian,,,,,,,Suburb,Other,Pagan
R_3dS11VYMTiM2z6B,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3dXp3DcoOW1YSYN,,,,,,,,,,,,
R_3ebpimdeE8KrcIg,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_3EDLrLIcjV5kXWI,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3egfeWdE6jPt8jp,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3EgOMwdFonBPIJz,,,,Indian,,,,,,City,Muslim,
R_3EGZx6XlaKIiail,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3EN17JrF5H3FbUK,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3ER2dHTWTwDwG00,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3ERVMP2g4NM9gYB,African American or Black,,,,,,,,,City,Other,Humanist
R_3exLscn2hhP01yL,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3F5aO60HJcR8qDW,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_3fB2EUaAGEuUJqD,,Asian,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3fBsl3vpX4wgIlk,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3FIKfjkVJlT1pSO,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3FJabfYiakSCxbD,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3fORxM8rb9abOZI,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3fOSbzb23GlXbHo,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3fTQuAbMd6PAace,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3fuv7jl0gfExmBH,,,,,,,,,,,,
R_3g5ySUgsH9uELUX,,Asian,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3G8mkOD4j0qLj2v,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3GjMDIXkttnSk0M,,,European/Causasian,,,,Native American,,,City,Do not actively practice a particular religion,
R_3gLA1QvyOALPOLZ,,,,,,,,,,,,
R_3Gvs4PYuFS2WxkU,,,,,,,,,,,,
R_3GvxaZ2O5M0US3o,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3GxhWP4qvHGpxQV,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
